index,year,lat,long,ha,month
576,2015,53.69085,-123.4334,3.323092530864784,5
577,2015,53.90185,-122.95826666666666,1.4043435019524713,5
578,2015,54.93998333333333,-122.25281666666666,1.4142580908651883,5
579,2015,54.09125,-120.32341666666667,2.8963178321172784,7
580,2015,53.84866666666667,-121.39441666666667,2.387116508064121,7
581,2015,53.49921666666667,-123.22411666666666,1.7764114803977857,8
582,2015,52.992383333333336,-119.3112,2.1772018553886485,4
583,2015,53.27975,-120.09561666666667,2.3620495986460344,3
584,2015,53.54108333333333,-123.75316666666667,2.888002372746403,5
585,2015,54.70141666666667,-124.79763333333334,1.4142580908651883,5
586,2015,54.76395,-124.84853333333334,1.4696591682055227,5
587,2015,55.392966666666666,-124.09916666666666,2.3191832003628683,5
588,2015,57.26555,-125.1075,2.263344683389106,5
589,2015,55.96338333333333,-123.77223333333333,2.1934578537619602,5
590,2015,58.22305,-126.86905,3.28175851937058,6
591,2015,58.20166666666667,-125.77655,3.0902557345396926,7
592,2015,56.36665,-123.86666666666666,3.2138531970532798,7
593,2015,55.88346666666666,-120.79755,2.3191832003628683,4
594,2015,55.68105,-121.66718333333333,1.6100916771567348,5
595,2015,55.19795,-120.27381666666666,1.8894061422082618,5
596,2015,55.28816666666667,-121.7375,1.4519246220142419,5
597,2015,55.150333333333336,-121.49546666666667,1.36245408726506,8
598,2015,56.27526666666667,-121.20433333333334,2.1613639849609982,4
599,2015,56.23945,-121.06265,2.268068431777426,4
600,2015,57.61781666666667,-121.19048333333333,2.933188572564623,5
601,2015,58.234833333333334,-120.47498333333333,1.995373956798362,5
602,2015,57.52668333333333,-121.41528333333333,2.2948272270725956,5
603,2015,57.96066666666667,-121.50931666666666,3.012115051070343,5
604,2015,57.85965,-120.98233333333333,1.782634111574548,5
605,2015,57.8946,-120.01635,2.510503105956439,6
606,2015,56.88153333333333,-121.5127,1.5563515716980234,6
607,2015,57.904666666666664,-120.153,3.310103012318761,6
608,2015,57.69716666666667,-121.36216666666667,2.0174434037581337,6
609,2015,57.552416666666666,-121.1796,2.0174434037581337,6
610,2015,57.74151666666667,-122.73623333333333,1.8894061422082618,7
611,2015,58.24948333333333,-121.4477,2.341495163355031,7
612,2015,59.74755,-124.29725,2.6546093894418537,5
613,2015,58.065,-122.46833333333333,3.1129117996117888,5
614,2015,58.79833333333333,-120.8445,2.2717903385517353,5
615,2015,59.2895,-122.91483333333333,1.3165353733610539,5
616,2015,59.40133333333333,-121.1278,2.1145729547106606,5
617,2015,58.960033333333335,-124.29683333333334,3.303919999323201,5
618,2015,59.07808333333333,-120.02528333333333,2.876305949251127,5
619,2015,59.5177,-127.8654,3.3416639092795704,5
620,2015,59.5636,-125.28,2.8282538764855203,5
621,2015,59.43188333333333,-121.16731666666666,3.018591471178534,5
622,2015,58.98778333333333,-124.99528333333333,2.763883256219811,5
623,2015,58.29833333333333,-123.22833333333334,2.4297604454159023,6
624,2015,59.670116666666665,-121.07233333333333,1.50317058330172,6
625,2015,59.355266666666665,-121.08305,2.74700297778171,6
626,2015,59.62838333333333,-121.42043333333334,3.191585589765924,6
627,2015,59.45778333333333,-120.74721666666667,2.0669205564382276,6
628,2015,59.563,-121.5055,1.3513782257293097,6
