ha,spring,summer,autumn,years_since_2012,min_dist_to_roads,BG,BWBS,CWH,ESSF,ICH,IDF,MS,PP,SBPS,SBS,SWB
60.0,1,0,0,1,0.08291907783988392,0,1,0,0,0,0,0,0,0,0,0
9.0,1,0,0,1,0.08482174286064771,0,1,0,0,0,0,0,0,0,0,0
100.0,1,0,0,1,0.255954672934999,0,1,0,0,0,0,0,0,0,0,0
20.0,1,0,0,1,0.06851765561066604,0,1,0,0,0,0,0,0,0,0,0
13.2,1,0,0,1,0.24272174308804606,0,1,0,0,0,0,0,0,0,0,0
5.7,0,0,1,1,0.06784507960907273,0,1,0,0,0,0,0,0,0,0,0
14.0,1,0,0,1,0.253717474928519,0,1,0,0,0,0,0,0,0,0,0
35.0,1,0,0,1,0.002207045249309609,0,1,0,0,0,0,0,0,0,0,0
13.7,1,0,0,1,0.013065956397822175,0,1,0,0,0,0,0,0,0,0,0
11.5,1,0,0,1,0.00995745550643656,0,1,0,0,0,0,0,0,0,0,0
9.9,0,1,0,1,0.8276097116970084,0,1,0,0,0,0,0,0,0,0,0
53.3,1,0,0,1,1.1973107182753837,0,1,0,0,0,0,0,0,0,0,0
12.5,1,0,0,1,1.4075643289799102,0,1,0,0,0,0,0,0,0,0,0
66.0,1,0,0,1,1.3908111736327613,0,1,0,0,0,0,0,0,0,0,0
209.7,0,1,0,1,0.7208401813685568,0,1,0,0,0,0,0,0,0,0,0
6.4,0,1,0,1,0.6814805981826636,0,1,0,0,0,0,0,0,0,0,0
6.4,0,1,0,1,0.48865018497827306,0,1,0,0,0,0,0,0,0,0,0
1029.6,0,1,0,1,0.20092565529623715,0,1,0,0,0,0,0,0,0,0,0
11.3,0,1,0,1,0.8931046950660784,0,1,0,0,0,0,0,0,0,0,0
17.0,0,1,0,1,1.4271880719639705,0,1,0,0,0,0,0,0,0,0,0
73.8,0,1,0,1,0.20087589748518261,0,0,0,0,1,0,0,0,0,0,0
13.2,0,1,0,1,0.0991743989194925,0,0,0,1,0,0,0,0,0,0,0
29.6,0,1,0,1,0.6567477419880072,0,0,0,0,1,0,0,0,0,0,0
18.4,0,1,0,1,0.3035625882292026,0,0,0,1,0,0,0,0,0,0,0
64.4,0,1,0,1,0.33420149240693725,0,0,0,1,0,0,0,0,0,0,0
792.0,0,1,0,1,0.491641023128949,0,0,0,1,0,0,0,0,0,0,0
16.6,0,1,0,1,0.6074777519210395,0,0,0,1,0,0,0,0,0,0,0
5.7,0,1,0,1,0.7991489214146722,0,0,0,1,0,0,0,0,0,0,0
71.5,0,1,0,1,0.6571015697483388,0,0,0,0,1,0,0,0,0,0,0
16.0,1,0,0,1,0.010529626050011098,1,0,0,0,0,0,0,0,0,0,0
15.0,1,0,0,1,0.027367153635066747,0,0,0,0,0,0,0,1,0,0,0
8.2,1,0,0,1,0.06749748946058196,0,0,0,0,0,1,0,0,0,0,0
1400.0,1,0,0,1,0.09882356668114993,0,0,0,0,0,0,0,1,0,0,0
10.0,1,0,0,1,0.014272263752782084,0,0,0,0,0,0,0,1,0,0,0
30.0,1,0,0,1,0.060880301671182184,0,0,0,0,0,1,0,0,0,0,0
12.6,1,0,0,1,0.2243021746251619,0,0,0,0,1,0,0,0,0,0,0
75.0,1,0,0,1,0.0021136824796649466,0,0,0,0,0,0,0,1,0,0,0
15.6,0,1,0,1,0.23102078032601933,0,0,0,0,0,1,0,0,0,0,0
16.1,0,1,0,1,0.081972498989144,1,0,0,0,0,0,0,0,0,0,0
63.5,0,1,0,1,0.037503875565301506,0,0,0,0,0,0,0,1,0,0,0
68.7,0,1,0,1,0.0419649993420408,0,0,0,0,0,1,0,0,0,0,0
18.0,0,1,0,1,0.05297213874977275,0,0,0,0,1,0,0,0,0,0,0
15.8,0,1,0,1,0.018043550361465915,0,0,0,0,0,1,0,0,0,0,0
60.0,1,0,0,1,0.01305422249673299,1,0,0,0,0,0,0,0,0,0,0
69.0,0,1,0,1,0.09338070799924436,0,0,0,0,0,0,0,1,0,0,0
14.9,0,1,0,1,0.0027874100806795908,0,0,0,0,0,0,0,1,0,0,0
6.2,1,0,0,1,0.20072178280191227,0,0,0,1,0,0,0,0,0,0,0
7.0,0,1,0,1,0.054085423213499774,1,0,0,0,0,0,0,0,0,0,0
26.0,0,1,0,1,0.04995509677747417,1,0,0,0,0,0,0,0,0,0,0
10.0,1,0,0,1,0.06295994046202548,0,0,0,0,0,0,0,1,0,0,0
7.0,1,0,0,1,0.056096370825642075,0,0,0,0,0,1,0,0,0,0,0
8.9,0,1,0,1,0.28206331572335597,0,0,0,1,0,0,0,0,0,0,0
5.2,0,1,0,1,0.0793458375320947,1,0,0,0,0,0,0,0,0,0,0
25.0,1,0,0,1,0.038651019849489515,0,0,0,0,0,0,0,1,0,0,0
6.8,1,0,0,1,0.02563358021420618,0,0,0,0,0,1,0,0,0,0,0
14.1,1,0,0,1,0.0013075386463360862,0,0,0,0,0,1,0,0,0,0,0
125.0,1,0,0,1,0.08047020827221767,0,0,0,0,0,1,0,0,0,0,0
12.6,0,1,0,1,0.03375655870923207,0,0,0,0,0,1,0,0,0,0,0
15.5,1,0,0,1,0.2803772342170798,0,0,0,0,0,0,1,0,0,0,0
7.5,0,1,0,1,0.3516564051902593,0,0,0,1,0,0,0,0,0,0,0
16.6,0,1,0,1,0.037455372477413665,0,0,0,1,0,0,0,0,0,0,0
22.6,0,1,0,1,0.04403863875291872,0,0,0,1,0,0,0,0,0,0,0
6.8,0,1,0,1,0.04494684299934148,0,0,0,1,0,0,0,0,0,0,0
12.5,0,1,0,1,0.3047669293959944,0,0,0,1,0,0,0,0,0,0,0
6.9,0,1,0,1,0.19086053036640416,0,0,0,1,0,0,0,0,0,0,0
17.0,0,0,1,1,0.3039564282153081,0,0,0,0,1,0,0,0,0,0,0
64.4,0,1,0,1,0.10011868199148567,0,0,0,1,0,0,0,0,0,0,0
5.0,0,1,0,1,0.25941046673388224,0,0,0,1,0,0,0,0,0,0,0
6.0,0,1,0,1,0.3644658141036356,0,0,0,1,0,0,0,0,0,0,0
35.0,0,1,0,1,0.09578384450773757,0,0,0,0,1,0,0,0,0,0,0
40.0,0,0,1,1,0.2875255307139111,0,0,0,0,1,0,0,0,0,0,0
32.0,0,0,1,1,0.33028442742541037,0,0,0,0,1,0,0,0,0,0,0
11.3,0,1,0,1,0.46036293182136695,0,0,0,1,0,0,0,0,0,0,0
203.9,0,1,0,1,0.5859494266653487,0,0,0,0,1,0,0,0,0,0,0
36.0,0,1,0,1,0.4139227848314138,0,0,0,0,1,0,0,0,0,0,0
13.8,0,0,1,1,0.222726595491983,0,0,0,0,1,0,0,0,0,0,0
7.6,0,0,1,1,0.05430445949072375,0,0,0,0,1,0,0,0,0,0,0
7.6,1,0,0,1,0.25456325154799797,0,0,0,0,0,0,0,0,0,1,0
5.6,1,0,0,1,0.032209544125924826,0,0,0,0,0,0,0,0,0,1,0
14.0,1,0,0,1,0.1162705832309662,0,0,0,0,0,0,0,0,0,1,0
7.1,0,1,0,1,0.6415490936725002,0,0,0,1,0,0,0,0,0,0,0
5.9,0,1,0,1,0.17996011763905934,0,0,0,0,0,0,0,0,0,1,0
6.0,0,1,0,1,0.3631432347035695,0,0,0,1,0,0,0,0,0,0,0
3700.0,0,1,0,1,0.8053273423172655,0,0,0,0,0,0,0,0,0,1,0
5.0,0,0,1,1,0.5224958900897163,0,0,0,0,0,0,0,0,0,1,0
