lat,long,ha,spring,summer,autumn,years_since_2012
58.31255,-120.5313,31.0,1,0,0,0
56.5764,-120.38566666666667,111.0,0,1,0,0
57.49301666666667,-121.17985,49.4,0,1,0,0
57.53033333333333,-120.15463333333334,15.0,0,1,0,0
57.179233333333336,-120.68668333333333,8.9,0,1,0,0
57.97395,-120.9617,718.2,0,1,0,0
57.559333333333335,-120.0737,9600.0,0,1,0,0
58.13665,-121.64483333333334,6.9,0,1,0,0
57.22578333333333,-120.78868333333334,751.9,0,1,0,0
56.56978333333333,-120.70808333333333,8.6,0,1,0,0
56.881166666666665,-120.286,80.2,0,1,0,0
58.16983333333334,-120.77443333333333,166.0,0,0,1,0
58.87598333333333,-120.30336666666666,23.0,1,0,0,0
59.178266666666666,-121.1203,9.3,1,0,0,0
58.96275,-121.362,25.0,1,0,0,0
59.52158333333333,-120.13676666666667,14.0,0,1,0,0
59.04245,-121.42171666666667,26.7,0,1,0,0
59.35373333333333,-120.26671666666667,12.0,0,1,0,0
59.80883333333333,-120.83083333333333,12196.3,0,1,0,0
58.88485,-121.23726666666667,7.5,0,1,0,0
58.86735,-121.20485,11.0,0,1,0,0
58.904716666666666,-121.10016666666667,25.5,0,1,0,0
58.950116666666666,-120.39923333333333,16.4,0,1,0,0
58.88385,-121.23545,2480.6,0,1,0,0
58.87695,-128.1039,128.9,0,1,0,0
59.48956666666667,-120.37135,7.6,0,1,0,0
59.41438333333333,-123.0603,5.0,0,1,0,0
59.12315,-120.1828,10.9,0,1,0,0
59.589416666666665,-123.67321666666666,3960.0,0,1,0,0
59.52045,-123.73616666666666,2540.0,0,1,0,0
58.80608333333333,-125.21223333333333,155.1,0,1,0,0
59.212783333333334,-121.9618,12.7,0,1,0,0
58.85585,-124.98203333333333,42.0,0,1,0,0
59.34043333333333,-120.98136666666667,54.0,0,1,0,0
59.34043333333333,-120.96078333333334,10.0,0,1,0,0
59.89625,-121.66176666666667,1102.3,0,1,0,0
58.35261666666667,-121.4504,6.7,0,1,0,0
59.787933333333335,-122.24036666666667,14.7,0,1,0,0
59.66035,-120.34158333333333,23.1,0,1,0,0
59.960166666666666,-127.01048333333334,878.3,0,1,0,0
59.59041666666667,-121.71066666666667,26.4,0,1,0,0
59.875366666666665,-124.79006666666666,1827.1,0,1,0,0
59.69115,-126.75668333333333,5.1,0,1,0,0
58.36266666666667,-122.064,5831.9,0,1,0,0
58.861133333333335,-127.6108,144.6,0,1,0,0
59.220216666666666,-127.66646666666666,2936.3,0,1,0,0
59.48025,-125.56275,46.0,0,1,0,0
58.388,-122.23345,6.2,0,1,0,0
59.06693333333333,-121.52745,38.5,0,1,0,0
59.8403,-121.54671666666667,780.0,0,1,0,0
58.51793333333333,-127.28576666666666,938.9,0,1,0,0
59.3315,-128.22778333333332,3010.9,0,1,0,0
59.38145,-128.20498333333333,219.0,0,1,0,0
59.82,-127.72,61.6,0,1,0,0
58.99413333333333,-120.62556666666667,24851.8,0,1,0,0
58.1366,-123.95236666666666,2499.0,0,1,0,0
57.85033333333333,-123.94775,2443.3,0,1,0,0
50.79371666666667,-120.18795,11.4,1,0,0,0
50.709383333333335,-121.30418333333333,7.9,1,0,0,0
50.75845,-121.55988333333333,6.5,0,1,0,0
50.8429,-120.34193333333333,8.5,0,1,0,0
50.671733333333336,-120.91528333333333,31.0,0,0,1,0
50.343983333333334,-120.41148333333334,14.0,0,0,1,0
50.77878333333334,-120.36016666666667,5.9,1,0,0,0
50.25375,-119.3576,35.0,0,1,0,0
50.084666666666664,-119.26208333333334,9.0,0,1,0,0
50.605716666666666,-118.57553333333334,36.2,0,1,0,0
50.09093333333333,-119.05365,17.9,0,1,0,0
50.45976666666667,-119.40678333333334,15.0,0,1,0,0
49.21156666666667,-119.84166666666667,5.9,1,0,0,0
